"Sistem Perlesenan", "Licensing System"
"Pemandu Pelancong", "Tourist Guide"
"Transaksi Permohonan", "Application Transaction"
"Permohonan Lesen Baru", "New License Application"
"Senarai Lesen", "License List"
"Senarai Permohonan Lesen", "License Application List"
"Senarai Pembaharuan", "Renewing List"
"Senarai Pembatalan", "Cancellation  List"
"Senarai Kompaun", "Compaund List"

#Permohonan Baru Pemandu Pelancong
"Permohonan Baru", "New Application"
"Am", "General"
"Maklumat Am", "General Information"
"Nama Lain", "Other Name"
"Umur", "Age"
"Tempat Lahir", "Place of Birth"
"Jantina", "Gender"
"Taraf Perkahwinan", "Marital Status"
"Warganegara", "Nationality"
"No Sijil Kerakyatan", "No Sijil Kerakyatan"
"No KP Lama/Baru / No Passport", "Old/New IC No / Passport No"
"Warna KP", "IC Color"
"Tarikh Dikeluarkan", "Date Issue"
"Tempat Dikeluarkan", "Place Issue"
"Alamat Rumah", "Home Address"
"Poskod", "Postcode"
"No Telefon (R)", "Telephone No (H)"
"No Telefon (HP)", "Telephone No (HP)"
"Alamat untuk Dihubungi (sekiranya berbeza dengan alamat di atas)", "Address to be Contacted (if different with above address)"
"Maklumat Pekerjaan", "Job Information"
"Pekerjaan Sekarang", "Current Job"
"Nama & Alamat Majikan Sekarang", "Current Employer Name & Address"
"No Telefon Majikan", "Employer Telephone No"
"Maklumat Pendidikan", "Education Information"
"[Tambah]", "[Add]"
"Sijil/Diploma/Ijazah", "Certificate/Diploma/Degree"
"Tahun", "Year"
"Sekolah/Maktab/Institut/Universiti", "School/College/Institute/University"

"Pengalaman", "Experience"
"Maklumat Pengalaman", "Experience Information"
"Pengalaman Bekerja Sebagai Pemandu Pelancong", "Working Experience As Tourist Guide"
"Jawatan", "Position"
"Gaji/Pendapatan Sebulan", "Gaji/Pendapatan Sebulan"
"Nama & Alamat Majikan", "Employer Name & Address"
"Tempoh Perkhidmatan", "Working Period"
"Lain-lain Keterangan", "Other Statement"
"Pernah Bekerja Sebagai Pemandu Pelancong", "Pernah Bekerja Sebagai Pemandu Pelancong"
"Tarikh Lesen Dikeluarkan", "Tarikh Lesen Dikeluarkan"
"Tarikh Tamat Lesen", "Tarikh Tamat Lesen"
"Bahasa Digunakan", "Language Used"
"Lain-lain Bahasa", "Other Language"
"Anggaran bilangan kerja memandu pelancong yg dilakukan tahun lalu", "Anggaran bilangan kerja memandu pelancong yg dilakukan tahun lalu"
"Taraf Pekerjaan", "Taraf Pekerjaan"

"Kursus Latihan Memandu Pelancong", "Kursus Latihan Memandu Pelancong"
"Maklumat Kursus Latihan Memandu Pelancong", "Maklumat Kursus Latihan Memandu Pelancong"
"Nama Kursus", "Course Name"
"Tarikh Kursus", "Course Date"
"Penganjur Kursus", "Course Organiser"
"Keputusan yang telah Diperolehi", "Keputusan yang telah Diperolehi"

"Persatuan", "Persatuan"
"Maklumat Persatuan", "Maklumat Persatuan"
"Nama Persatuan", "Nama Persatuan"
"Tarikh Menjadi Ahli", "Tarikh Menjadi Ahli"

"Dokumen Sokongan", "Supporting Documents"
"Borang 1 (Peraturan 3) diisi lengkap", "Borang 1 (Peraturan 3) diisi lengkap"
"Salinan kad pengenalan", "Salinan kad pengenalan"
"Salinan Resit keahlian Persatuan Pemandu Pelancong", "Salinan Resit keahlian Persatuan Pemandu Pelancong"
"Salinan Surat Akuan Kesihatan", "Salinan Surat Akuan Kesihatan"
"Jenis Lesen Pemandu Pelancong", "Jenis Lesen Pemandu Pelancong"

"Dokumen Tambahan Bagi Pemohon Lesen Pemandu Pelancong (City Guide)", "Dokumen Tambahan Bagi Pemohon Lesen Pemandu Pelancong (City Guide)"
"Salinan surat kelulusan dan Sijil Kursus Latihan Asas Pemandu Pelancong", "Salinan surat kelulusan dan Sijil Kursus Latihan Asas Pemandu Pelancong"
"Salinan Sijil Kemahiran Malaysia atau Borang JPK/P2(T/1003)", "Salinan Sijil Kemahiran Malaysia atau Borang JPK/P2(T/1003)"
"Salinan sijil-sijil kelayakan akademik (Cth: Ijazah, Diploma, STPM, SPM atau setaraf dengannya)", "Salinan sijil-sijil kelayakan akademik (Cth: Ijazah, Diploma, STPM, SPM atau setaraf dengannya)"
"Salinan Sijil Program Mesra Malaysia", "Salinan Sijil Program Mesra Malaysia"
"Salinan surat tawaran dari majikan Syarikat Pengendalian Pelancong", "Salinan surat tawaran dari majikan Syarikat Pengendalian Pelancong"

"Dokumen Tambahan Bagi Pemohon Lesen Pemandu Alam Semulajadi Setempat (Nature Guide)", "Dokumen Tambahan Bagi Pemohon Lesen Pemandu Alam Semulajadi Setempat (Nature Guide)"
"Salinan Sijil Kursus Alam Semulajadi Setempat", "Salinan Sijil Kursus Alam Semulajadi Setempat"
"Salinan sijil-sijil kelayakan akademik/kemahiran", "Salinan sijil-sijil kelayakan akademik/kemahiran"
"Salinan Sijil Kursus Eco Host", "Salinan Sijil Kursus Eco Host"

"Perakuan", "Perakuan"
"Rujukan Diri", "Rujukan Diri"
"Rujukan", "Rujukan"
"Alamat", "Alamat"
"Pekerjaan", "Pekerjaan"
"Saya mengaku segala keterangan yang diberi adalah benar dan betul.<br />Saya juga adalah bebas daripaada rekod jenayah", "Saya mengaku segala keterangan yang diberi adalah benar dan betul.<br />Saya juga adalah bebas daripaada rekod jenayah"
